age,salary,experience
51,235180,0
23,379128,16
63,12204,16
23,102769,10
51,97265,2
18,303275,14
27,62428,10
38,43870,15
22,113547,8
19,245990,0
39,59067,15
19,461801,8
27,248083,18
51,122217,11
33,424823,18
56,428184,8
39,108934,6
29,152980,13
41,429639,18
64,346851,18
57,219329,1
55,267354,8
27,71215,12
52,196907,14
49,321573,2
24,354296,10
38,118048,13
37,179530,7
43,187241,17
21,148731,18
63,463830,15
39,249977,1
32,349384,7
57,436009,5
38,123688,11
32,318617,14
39,368906,7
45,230460,3
31,491546,14
44,379100,19
58,390596,16
57,196823,12
45,398455,17
43,219987,1
19,457470,12
42,279150,12
20,259243,14
25,84218,19
61,206416,9
50,437056,2
59,42430,18
52,33091,2
23,267125,13
56,436199,7
40,33989,3
42,85451,19
60,28990,10
36,362414,10
22,352504,10
28,260541,1
29,308225,16
27,152105,8
25,380416,1
41,288385,14
45,134932,15
58,278083,3
53,123000,7
54,188634,8
38,45063,4
25,217793,15
26,168117,12
64,447985,6
32,319262,19
63,94703,16
57,424841,2
35,245796,4
59,138557,18
37,299220,11
23,263317,6
29,205877,8
19,316749,5
24,356709,16
33,491725,15
20,311265,2
62,468317,3
20,303577,9
44,53309,4
60,339612,9
57,447470,11
55,339437,9
50,368402,12
45,441069,10
18,310549,15
25,469868,7
54,53527,7
49,349371,7
60,403708,12
54,234490,1
21,149883,11
47,103344,9
23,165344,11
63,497151,10
36,475226,14
49,233564,15
26,57153,16
29,118042,1
28,64110,17
63,155051,11
33,251131,18
18,249173,17
62,38328,16
38,122911,5
47,285011,14
30,69234,2
51,297995,5
21,303423,2
45,258503,0
55,237135,12
48,83402,13
44,287593,12
22,348365,3
42,361224,6
20,15451,9
50,97178,6
21,444532,14
42,466280,14
37,335905,3
51,246562,5
43,311014,19
22,368710,4
52,395893,19
45,133765,11
46,397025,0
26,434089,7
55,138389,0
23,199699,4
36,207227,5
61,297516,2
28,275786,14
19,270220,4
64,431217,13
61,306208,17
61,235898,15
26,286266,5
38,428036,13
41,78431,7
51,65745,6
39,60081,7
20,474118,12
29,411927,5
45,226204,17
47,422009,1
43,411415,7
38,86253,10
45,308335,0
43,282355,5
50,121086,15
38,466285,19
52,492112,11
51,459962,10
58,424758,9
64,434528,2
35,448458,12
28,374115,2
40,103783,14
39,135681,15
34,97893,12
22,458604,16
61,168763,2
28,87960,19
47,356532,10
32,32601,18
44,421236,10
52,149227,15
50,210191,2
37,484267,5
33,177849,13
51,291854,17
19,380858,16
52,165604,3
57,138727,14
45,421817,10
64,73227,2
56,146039,2
23,94289,15
26,161094,4
37,446679,9
18,215743,18
25,277866,3
40,168485,18
20,495988,10
21,353194,1
42,243820,9
64,246994,10
55,489083,19
32,355740,15
38,338876,18
52,415513,10
63,78323,13
31,295960,1
53,50695,4
29,422918,4
34,428458,18
56,65841,11
26,400642,17
52,208784,3
30,488879,16
32,117096,9
35,102764,19
50,456790,5
23,95744,13
44,300626,10
40,19171,10
44,110755,17
51,118125,17
63,402866,10
55,378226,11
31,13696,4
53,136310,8
25,423274,8
52,161385,9
36,291293,18
47,402208,0
31,325665,6
37,55740,3
42,116611,0
57,408172,14
41,478947,7
31,485828,11
43,258922,17
55,338785,14
40,73811,16
39,455376,13
36,192385,13
63,73232,17
20,287561,19
59,165801,17
36,122492,15
26,40099,0
45,239206,10
37,433177,14
62,415818,11
24,128474,7
31,281400,19
26,489336,5
36,253588,2
64,44681,12
31,101328,12
55,228512,1
53,468005,4
57,315505,16
34,467719,5
47,44540,1
26,167608,3
50,94700,10
42,466259,7
31,350676,11
28,197647,7
52,399770,10
58,406087,19
31,56002,7
47,59812,7
58,425842,16
21,201051,19
21,479273,19
45,267906,15
25,118946,13
19,76668,10
58,109003,6
63,221142,15
39,230462,12
58,315142,14
33,204886,15
46,114601,8
47,448823,2
29,279956,18
52,71844,19
28,211165,4
63,405395,9
38,184870,16
38,84601,14
22,411491,7
37,453790,14
54,320001,13
20,397699,19
61,292844,6
50,267927,11
26,442680,16
26,183423,16
21,103330,9
52,235391,18
34,223606,13
51,417085,10
41,201387,1
49,251133,17
18,496904,6
25,424170,11
62,172627,1
40,335497,19
64,485406,17
57,448242,5
29,372916,9
29,188048,19
63,483794,14
64,363646,4
32,386087,19
58,381994,2
36,55095,4
43,155342,7
46,171980,7
39,287667,7
57,72433,11
38,450284,7
55,29991,10
37,282919,13
46,481017,7
21,357139,9
24,464466,6
45,157745,16
45,132808,3
21,168128,12
39,147686,3
29,17415,4
62,491907,3
20,256038,17
39,447100,5
61,420180,1
19,440942,10
