age,salary,experience
56,388892,2
46,15287,19
32,267665,13
60,437603,14
25,18512,13
38,142414,6
56,466292,16
36,118872,11
40,422432,19
28,257754,3
28,103070,8
41,89767,5
53,107829,15
57,429830,1
41,439474,7
20,497005,10
39,52078,12
19,378432,16
41,93524,7
61,237645,17
47,22219,17
55,272379,13
19,315073,14
38,137309,5
50,339588,10
29,149639,12
39,373978,0
61,474008,5
42,206513,8
44,356699,7
59,345842,10
45,396594,18
33,258320,8
32,146487,16
64,177231,11
61,53925,13
20,147023,14
54,97388,15
24,18007,19
38,267802,0
26,445048,9
56,68596,7
35,393245,17
21,433739,0
42,361005,1
31,265266,0
26,358884,0
43,25524,8
19,422498,12
37,165002,0
45,403293,12
64,135501,19
24,292755,6
61,158056,1
25,24060,5
64,224057,6
52,487272,13
31,315447,17
34,200279,14
53,216118,1
57,170359,9
21,496925,11
19,49711,16
23,153026,7
59,345484,10
21,475317,2
46,474736,5
35,228134,8
43,112974,5
61,159646,8
51,412400,6
27,160168,8
53,77728,17
31,175088,11
48,21246,7
32,448774,7
25,421597,17
31,399940,19
40,439671,14
57,102263,6
38,407234,10
33,21302,19
62,339650,15
35,51157,3
64,64917,5
41,233810,2
43,106646,8
42,355266,9
62,296663,13
58,490703,10
46,460035,17
32,353054,11
62,392574,11
18,343468,12
42,277552,12
24,69379,18
26,35053,18
41,412662,13
18,141994,3
61,108723,12
25,61356,7
41,282933,18
28,369864,11
34,338800,17
25,316172,5
52,336628,17
52,42154,18
50,223942,4
22,274480,8
59,375821,2
56,339923,9
58,291173,18
45,331345,2
24,42265,14
26,375060,0
25,253322,6
29,184944,11
51,56197,16
50,397877,19
40,458396,4
41,164782,3
54,170558,11
52,81907,19
61,401020,17
57,212967,16
39,336579,18
44,312775,8
52,401182,3
18,242604,1
52,292247,3
54,74772,1
64,136108,14
31,24382,1
20,94291,3
18,373339,5
22,144828,6
43,292753,9
31,157550,18
56,242050,18
44,442882,11
26,347827,2
32,396858,12
32,140330,17
43,81315,7
59,349978,14
30,398349,0
49,24153,2
56,86325,7
49,250773,3
21,416215,15
47,65318,9
54,404030,11
40,387177,13
56,86077,13
62,362618,1
32,143515,4
60,479209,4
46,216988,5
53,345463,12
30,135885,8
49,381921,14
24,27368,13
39,156400,6
45,198014,19
19,101751,1
59,240203,6
62,299450,5
23,488667,16
45,180987,1
45,309363,2
61,221951,4
61,205716,4
37,70279,0
47,325172,7
28,376407,11
45,10126,3
42,324473,12
56,37632,14
50,206382,10
18,119945,9
44,327320,2
30,260869,13
58,227138,15
20,185399,9
56,472120,9
23,144869,11
25,188954,8
44,154790,0
26,44560,4
54,348733,19
50,294260,7
59,439460,10
61,142717,11
41,188595,0
32,134085,19
49,389862,10
49,291400,4
41,110158,14
58,194245,4
29,178502,11
56,442498,4
19,391863,16
20,466590,16
54,340388,11
34,152766,14
19,328408,14
19,478276,5
45,67545,11
40,311368,19
54,370089,17
49,23224,13
50,50738,1
18,428366,8
36,335875,4
19,190760,19
61,249690,0
43,476725,2
49,149649,5
23,18070,4
49,136161,4
21,18666,0
28,329905,16
34,308512,18
55,147855,13
41,51914,11
